"condition","Iteration","InSampleError","Error","Model"
0,23,0.42016358189954,0.432856894293905,"Exponential"
0,24,0.424486521653403,0.408061844966838,"Exponential"
0,25,0.413512358240772,0.436198450211886,"Exponential"
0,26,0.430772027049344,0.419749346799099,"Exponential"
0,27,0.432655207225229,0.423631861911884,"Exponential"
0,28,0.425600535473117,0.421235009721109,"Exponential"
0,29,0.405952143303493,0.436267882070928,"Exponential"
0,30,0.413272339602673,0.415956415796226,"Exponential"
0,31,0.423223428363336,0.422451269627619,"Exponential"
0,32,0.41181985078425,0.425250078443227,"Exponential"
0,33,0.416479229952168,0.421863782435762,"Exponential"
0,34,0.418379884840669,0.421391207912242,"Exponential"
0,35,0.425586420477844,0.427486813946742,"Exponential"
0,36,0.424642786153171,0.429356876120537,"Exponential"
0,37,0.419172262486948,0.428682201525591,"Exponential"
0,38,0.421693519898487,0.430045679736158,"Exponential"
0,39,0.42432157337639,0.42523485891201,"Exponential"
0,40,0.422007128549088,0.419073697471515,"Exponential"
0,41,0.425043107872699,0.42630322998725,"Exponential"
0,42,0.427624146237162,0.422357169974206,"Exponential"
0,43,0.420708652970446,0.420433654537642,"Exponential"
0,44,0.5,0.5,"Exponential"
0,45,0.407064394228533,0.429892893846159,"Exponential"
0,46,0.425566011988537,0.416114778252477,"Exponential"
0,47,0.42218203646698,0.426584647410266,"Exponential"
0,48,0.5,0.5,"Exponential"
0,49,0.427154221474563,0.42047773986223,"Exponential"
0,50,0.420239848946433,0.419852959916541,"Exponential"
0,51,0.5,0.5,"Exponential"
0,52,0.424057635158752,0.41838968938197,"Exponential"
0,53,0.441857782419496,0.408572074181678,"Exponential"
0,54,0.424928100280613,0.428492424057036,"Exponential"
0,55,0.407617822461441,0.430114642827756,"Exponential"
0,56,0.424578384478428,0.426009357482521,"Exponential"
0,57,0.436235830072911,0.416334335348627,"Exponential"
0,58,0.420480434693085,0.412310272123515,"Exponential"
0,59,0.419610966999067,0.414548012048382,"Exponential"
0,60,0.42590294795851,0.416088635583645,"Exponential"
0,61,0.424556709347566,0.425798361841519,"Exponential"
0,62,0.439170548051811,0.414728165598921,"Exponential"
0,63,0.415930191749625,0.430688397410486,"Exponential"
0,64,0.406922025486249,0.436310409911551,"Exponential"
0,65,0.419775947807114,0.426770155162318,"Exponential"
0,66,0.41923050685297,0.414202245077285,"Exponential"
0,67,0.424264690377122,0.424280777249061,"Exponential"
0,68,0.411318547466445,0.439229170966779,"Exponential"
0,69,0.42791487168312,0.400636479364287,"Exponential"
0,70,0.427305160093854,0.421529070518415,"Exponential"
0,71,0.429772115727225,0.418483131264615,"Exponential"
0,72,0.436944481227386,0.415517322513637,"Exponential"
0,73,0.402751230357367,0.43276745404607,"Exponential"
0,74,0.421152449843136,0.429008507819983,"Exponential"
0,75,0.500000000000063,0.500000000000081,"Exponential"
0,76,0.417715494061006,0.437638365442405,"Exponential"
0,77,0.419361717145637,0.424668355483089,"Exponential"
0,78,0.449971933725866,0.409154727401458,"Exponential"
0,79,0.425297481717465,0.429046224607922,"Exponential"
0,80,0.421517725963811,0.428017261158313,"Exponential"
0,81,0.418209766912707,0.43454468303636,"Exponential"
0,82,0.429563013119275,0.411430707215392,"Exponential"
0,83,0.424497066493564,0.428625446335208,"Exponential"
0,84,0.428127978981083,0.423298555424382,"Exponential"
0,85,0.434097915169081,0.416519255985139,"Exponential"
0,86,0.428528052136873,0.419333654436145,"Exponential"
0,87,0.426724533369089,0.427004182872198,"Exponential"
0,88,0.416406142184213,0.426671328985769,"Exponential"
0,89,0.421270028067231,0.421168865299945,"Exponential"
0,90,0.418500139781052,0.420359102955441,"Exponential"
0,91,0.420437874275707,0.41866734404437,"Exponential"
0,92,0.435775848249348,0.419119757882867,"Exponential"
0,93,0.406419286464087,0.429496895222297,"Exponential"
0,94,0.424647225825354,0.425426627849936,"Exponential"
0,95,0.419184123732754,0.427163007806342,"Exponential"
0,96,0.42925739279868,0.42148875123355,"Exponential"
0,97,0.427945589476782,0.42320227212132,"Exponential"
0,98,0.411920357479318,0.435351540002138,"Exponential"
0,99,0.423448514796078,0.412071999723555,"Exponential"
0,100,0.420151675736143,0.427020063615765,"Exponential"
0,1,0.321660270665401,0.335132326339499,"Homothetic Exponential"
0,2,0.332411606207828,0.326409769468388,"Homothetic Exponential"
0,3,0.312615683838182,0.343395689508047,"Homothetic Exponential"
0,4,0.337705269542226,0.322396304468967,"Homothetic Exponential"
0,5,0.328441229404749,0.336437307006865,"Homothetic Exponential"
0,6,0.326592349902519,0.327217954857565,"Homothetic Exponential"
0,7,0.32781813690267,0.322115530260172,"Homothetic Exponential"
0,8,0.324811215430636,0.335031433681019,"Homothetic Exponential"
0,9,0.334531274539358,0.331313554613974,"Homothetic Exponential"
0,10,0.329299334529893,0.334381379321973,"Homothetic Exponential"
0,11,0.338395804082235,0.318694299486073,"Homothetic Exponential"
0,12,0.32516152354897,0.342869698373677,"Homothetic Exponential"
0,13,0.350146142923395,0.305215038570739,"Homothetic Exponential"
