Question;Condition;X1;X2;T1;T2;LaterOptionChosen
8;;8;10;2;6;
8;;8;10;2;6;
8;;8;10;2;6;
8;;8;10;2;6;
8;;8;10;2;6;
8;;8;10;2;6;
8;;8;10;2;6;
8;;8;10;2;6;
8;;8;10;2;6;
8;;8;10;2;6;
8;3;8;10;2;6;0
8;3;8;10;2;6;1
8;3;8;10;2;6;0
8;3;8;10;2;6;0
8;3;8;10;2;6;1
8;3;8;10;2;6;1
8;;8;10;2;6;
8;;8;10;2;6;
8;;8;10;2;6;
8;;8;10;2;6;
8;;8;10;2;6;
8;;8;10;2;6;
8;;8;10;2;6;
8;;8;10;2;6;
8;;8;10;2;6;
8;;8;10;2;6;
8;;8;10;2;6;
8;;8;10;2;6;
8;;8;10;2;6;
8;;8;10;2;6;
8;;8;10;2;6;
8;;8;10;2;6;
8;;8;10;2;6;
8;;8;10;2;6;
8;4;8;10;2;6;1
8;4;8;10;2;6;1
8;4;8;10;2;6;1
8;4;8;10;2;6;1
8;4;8;10;2;6;0
8;4;8;10;2;6;1
8;4;8;10;2;6;1
8;;8;10;2;6;
8;;8;10;2;6;
9;1;5;10;2;3;0
9;1;5;10;2;3;0
9;1;5;10;2;3;0
9;1;5;10;2;3;1
9;1;5;10;2;3;0
9;1;5;10;2;3;0
9;1;5;10;2;3;1
9;1;5;10;2;3;1
9;1;5;10;2;3;1
9;;5;10;2;3;
9;;5;10;2;3;
9;;5;10;2;3;
9;;5;10;2;3;
9;;5;10;2;3;
9;;5;10;2;3;
9;;5;10;2;3;
9;;5;10;2;3;
9;;5;10;2;3;
9;;5;10;2;3;
9;;5;10;2;3;
9;;5;10;2;3;
9;;5;10;2;3;
9;;5;10;2;3;
9;2;5;10;2;3;1
9;2;5;10;2;3;1
9;2;5;10;2;3;1
9;2;5;10;2;3;1
9;;5;10;2;3;
9;;5;10;2;3;
9;;5;10;2;3;
9;;5;10;2;3;
9;;5;10;2;3;
9;;5;10;2;3;
9;;5;10;2;3;
9;;5;10;2;3;
9;;5;10;2;3;
9;;5;10;2;3;
9;;5;10;2;3;
9;;5;10;2;3;
9;;5;10;2;3;
9;;5;10;2;3;
9;;5;10;2;3;
9;3;5;10;2;3;1
9;3;5;10;2;3;1
9;3;5;10;2;3;1
9;3;5;10;2;3;0
9;3;5;10;2;3;1
9;3;5;10;2;3;1
9;;5;10;2;3;
9;;5;10;2;3;
9;;5;10;2;3;
9;;5;10;2;3;
9;;5;10;2;3;
9;;5;10;2;3;
9;;5;10;2;3;
9;;5;10;2;3;
9;;5;10;2;3;
9;;5;10;2;3;
9;;5;10;2;3;
9;;5;10;2;3;
9;;5;10;2;3;
9;;5;10;2;3;
9;;5;10;2;3;
9;;5;10;2;3;
9;;5;10;2;3;
9;;5;10;2;3;
9;4;5;10;2;3;1
9;4;5;10;2;3;1
9;4;5;10;2;3;1
9;4;5;10;2;3;1
9;4;5;10;2;3;1
9;4;5;10;2;3;1
9;4;5;10;2;3;1
9;;5;10;2;3;
9;;5;10;2;3;
10;1;5;10;2;4;0
10;1;5;10;2;4;0
10;1;5;10;2;4;0
10;1;5;10;2;4;0
10;1;5;10;2;4;0
10;1;5;10;2;4;0
10;1;5;10;2;4;1
10;1;5;10;2;4;1
10;1;5;10;2;4;1
10;;5;10;2;4;
10;;5;10;2;4;
10;;5;10;2;4;
10;;5;10;2;4;
10;;5;10;2;4;
10;;5;10;2;4;
10;;5;10;2;4;
10;;5;10;2;4;
10;;5;10;2;4;
10;;5;10;2;4;
10;;5;10;2;4;
10;;5;10;2;4;
10;;5;10;2;4;
10;;5;10;2;4;
10;2;5;10;2;4;1
10;2;5;10;2;4;1
10;2;5;10;2;4;1
10;2;5;10;2;4;0
10;;5;10;2;4;
10;;5;10;2;4;
10;;5;10;2;4;
10;;5;10;2;4;
10;;5;10;2;4;
10;;5;10;2;4;
10;;5;10;2;4;
10;;5;10;2;4;
10;;5;10;2;4;
10;;5;10;2;4;
10;;5;10;2;4;
10;;5;10;2;4;
10;;5;10;2;4;
10;;5;10;2;4;
10;;5;10;2;4;
10;3;5;10;2;4;1
10;3;5;10;2;4;1
10;3;5;10;2;4;1
10;3;5;10;2;4;1
10;3;5;10;2;4;1
10;3;5;10;2;4;1
10;;5;10;2;4;
10;;5;10;2;4;
10;;5;10;2;4;
10;;5;10;2;4;
10;;5;10;2;4;
10;;5;10;2;4;
10;;5;10;2;4;
10;;5;10;2;4;
10;;5;10;2;4;
10;;5;10;2;4;
10;;5;10;2;4;
10;;5;10;2;4;
10;;5;10;2;4;
10;;5;10;2;4;
10;;5;10;2;4;
10;;5;10;2;4;
10;;5;10;2;4;
10;;5;10;2;4;
10;4;5;10;2;4;1
10;4;5;10;2;4;1
10;4;5;10;2;4;1
10;4;5;10;2;4;1
10;4;5;10;2;4;1
10;4;5;10;2;4;1
10;4;5;10;2;4;1
10;;5;10;2;4;
10;;5;10;2;4;
11;1;5;10;2;5;0
11;1;5;10;2;5;1
11;1;5;10;2;5;1
11;1;5;10;2;5;1
11;1;5;10;2;5;0
11;1;5;10;2;5;0
11;1;5;10;2;5;1
11;1;5;10;2;5;1
11;1;5;10;2;5;1
11;;5;10;2;5;
11;;5;10;2;5;
11;;5;10;2;5;
11;;5;10;2;5;
11;;5;10;2;5;
11;;5;10;2;5;
11;;5;10;2;5;
11;;5;10;2;5;
11;;5;10;2;5;
11;;5;10;2;5;
11;;5;10;2;5;
11;;5;10;2;5;
11;;5;10;2;5;
11;;5;10;2;5;
11;2;5;10;2;5;1
11;2;5;10;2;5;1
11;2;5;10;2;5;1
11;2;5;10;2;5;0
11;;5;10;2;5;
11;;5;10;2;5;
11;;5;10;2;5;
11;;5;10;2;5;
11;;5;10;2;5;
11;;5;10;2;5;
11;;5;10;2;5;
11;;5;10;2;5;
11;;5;10;2;5;
11;;5;10;2;5;
11;;5;10;2;5;
11;;5;10;2;5;
11;;5;10;2;5;
11;;5;10;2;5;
11;;5;10;2;5;
11;3;5;10;2;5;1
11;3;5;10;2;5;0
11;3;5;10;2;5;0
11;3;5;10;2;5;0
11;3;5;10;2;5;1
11;3;5;10;2;5;1
11;;5;10;2;5;
11;;5;10;2;5;
11;;5;10;2;5;
11;;5;10;2;5;
11;;5;10;2;5;
11;;5;10;2;5;
11;;5;10;2;5;
11;;5;10;2;5;
11;;5;10;2;5;
11;;5;10;2;5;
11;;5;10;2;5;
11;;5;10;2;5;
11;;5;10;2;5;
11;;5;10;2;5;
11;;5;10;2;5;
11;;5;10;2;5;
11;;5;10;2;5;
11;;5;10;2;5;
11;4;5;10;2;5;0
11;4;5;10;2;5;1
11;4;5;10;2;5;1
11;4;5;10;2;5;1
11;4;5;10;2;5;1
11;4;5;10;2;5;1
11;4;5;10;2;5;1
11;;5;10;2;5;
11;;5;10;2;5;
12;1;5;10;3;5;0
12;1;5;10;3;5;1
12;1;5;10;3;5;1
12;1;5;10;3;5;0
12;1;5;10;3;5;0
12;1;5;10;3;5;0
12;1;5;10;3;5;1
12;1;5;10;3;5;1
12;1;5;10;3;5;1
12;;5;10;3;5;
12;;5;10;3;5;
12;;5;10;3;5;
12;;5;10;3;5;
12;;5;10;3;5;
12;;5;10;3;5;
12;;5;10;3;5;
12;;5;10;3;5;
12;;5;10;3;5;
12;;5;10;3;5;
12;;5;10;3;5;
12;;5;10;3;5;
12;;5;10;3;5;
12;;5;10;3;5;
12;2;5;10;3;5;1
12;2;5;10;3;5;1
12;2;5;10;3;5;1
12;2;5;10;3;5;1
12;;5;10;3;5;
12;;5;10;3;5;
12;;5;10;3;5;
12;;5;10;3;5;
12;;5;10;3;5;
12;;5;10;3;5;
12;;5;10;3;5;
12;;5;10;3;5;
12;;5;10;3;5;
12;;5;10;3;5;
12;;5;10;3;5;
12;;5;10;3;5;
12;;5;10;3;5;
12;;5;10;3;5;
12;;5;10;3;5;
12;3;5;10;3;5;1
12;3;5;10;3;5;1
12;3;5;10;3;5;1
12;3;5;10;3;5;1
12;3;5;10;3;5;1
12;3;5;10;3;5;1
12;;5;10;3;5;
12;;5;10;3;5;
12;;5;10;3;5;
12;;5;10;3;5;
12;;5;10;3;5;
12;;5;10;3;5;
12;;5;10;3;5;
12;;5;10;3;5;
12;;5;10;3;5;
12;;5;10;3;5;
12;;5;10;3;5;
12;;5;10;3;5;
12;;5;10;3;5;
12;;5;10;3;5;
12;;5;10;3;5;
12;;5;10;3;5;
12;;5;10;3;5;
12;;5;10;3;5;
12;4;5;10;3;5;0
12;4;5;10;3;5;1
12;4;5;10;3;5;1
12;4;5;10;3;5;1
12;4;5;10;3;5;1
12;4;5;10;3;5;1
12;4;5;10;3;5;1
12;;5;10;3;5;
12;;5;10;3;5;
13;1;13;20;2;3;0
13;1;13;20;2;3;1
13;1;13;20;2;3;0
13;1;13;20;2;3;1
13;1;13;20;2;3;0
13;1;13;20;2;3;0
13;1;13;20;2;3;1
13;1;13;20;2;3;1
13;1;13;20;2;3;1
13;;13;20;2;3;
13;;13;20;2;3;
13;;13;20;2;3;
13;;13;20;2;3;
13;;13;20;2;3;
13;;13;20;2;3;
13;;13;20;2;3;
13;;13;20;2;3;
13;;13;20;2;3;
13;;13;20;2;3;
13;;13;20;2;3;
13;;13;20;2;3;
13;;13;20;2;3;
13;;13;20;2;3;
13;2;13;20;2;3;0
13;2;13;20;2;3;1
13;2;13;20;2;3;1
13;2;13;20;2;3;0
13;;13;20;2;3;
13;;13;20;2;3;
13;;13;20;2;3;
13;;13;20;2;3;
13;;13;20;2;3;
13;;13;20;2;3;
13;;13;20;2;3;
13;;13;20;2;3;
13;;13;20;2;3;
13;;13;20;2;3;
13;;13;20;2;3;
13;;13;20;2;3;
13;;13;20;2;3;
13;;13;20;2;3;
13;;13;20;2;3;
13;3;13;20;2;3;1
13;3;13;20;2;3;1
13;3;13;20;2;3;1
13;3;13;20;2;3;0
13;3;13;20;2;3;1
13;3;13;20;2;3;1
13;;13;20;2;3;
13;;13;20;2;3;
13;;13;20;2;3;
13;;13;20;2;3;
13;;13;20;2;3;
13;;13;20;2;3;
13;;13;20;2;3;
13;;13;20;2;3;
13;;13;20;2;3;
13;;13;20;2;3;
13;;13;20;2;3;
13;;13;20;2;3;
13;;13;20;2;3;
13;;13;20;2;3;
13;;13;20;2;3;
13;;13;20;2;3;
13;;13;20;2;3;
13;;13;20;2;3;
13;4;13;20;2;3;1
13;4;13;20;2;3;1
13;4;13;20;2;3;1
13;4;13;20;2;3;1
13;4;13;20;2;3;1
13;4;13;20;2;3;1
13;4;13;20;2;3;1
13;;13;20;2;3;
13;;13;20;2;3;
14;1;13;20;2;7;1
14;1;13;20;2;7;1
14;1;13;20;2;7;1
14;1;13;20;2;7;0
14;1;13;20;2;7;0
14;1;13;20;2;7;0
14;1;13;20;2;7;0
14;1;13;20;2;7;1
14;1;13;20;2;7;1
14;1;13;20;2;7;
14;;13;20;2;7;
14;;13;20;2;7;
14;;13;20;2;7;
14;;13;20;2;7;
14;;13;20;2;7;
14;;13;20;2;7;
14;;13;20;2;7;
14;;13;20;2;7;
14;;13;20;2;7;
14;;13;20;2;7;
14;;13;20;2;7;
14;;13;20;2;7;
14;;13;20;2;7;
14;;13;20;2;7;0
14;2;13;20;2;7;0
14;2;13;20;2;7;0
14;2;13;20;2;7;0
14;2;13;20;2;7;
14;;13;20;2;7;
14;;13;20;2;7;
14;;13;20;2;7;
14;;13;20;2;7;
14;;13;20;2;7;
14;;13;20;2;7;
14;;13;20;2;7;
14;;13;20;2;7;
14;;13;20;2;7;
14;;13;20;2;7;
14;;13;20;2;7;
14;;13;20;2;7;
14;;13;20;2;7;
14;;13;20;2;7;
14;;13;20;2;7;0
14;3;13;20;2;7;1
14;3;13;20;2;7;0
14;3;13;20;2;7;0
14;3;13;20;2;7;1
14;3;13;20;2;7;1
14;3;13;20;2;7;0
14;;13;20;2;7;
14;;13;20;2;7;
14;;13;20;2;7;
14;;13;20;2;7;
14;;13;20;2;7;
14;;13;20;2;7;
14;;13;20;2;7;
14;;13;20;2;7;
14;;13;20;2;7;
14;;13;20;2;7;
14;;13;20;2;7;
14;;13;20;2;7;
14;;13;20;2;7;
14;;13;20;2;7;
14;;13;20;2;7;
14;;13;20;2;7;
14;;13;20;2;7;
14;;13;20;2;7;1
14;4;13;20;2;7;1
14;4;13;20;2;7;1
14;4;13;20;2;7;1
14;4;13;20;2;7;1
14;4;13;20;2;7;1
14;4;13;20;2;7;1
14;4;13;20;2;7;
14;;13;20;2;7;
15;1;13;20;4;7;0
15;1;13;20;4;7;1
15;1;13;20;4;7;0
15;1;13;20;4;7;1
15;1;13;20;4;7;0
15;1;13;20;4;7;0
15;1;13;20;4;7;1
15;1;13;20;4;7;1
15;1;13;20;4;7;1
15;;13;20;4;7;
15;;13;20;4;7;
15;;13;20;4;7;
15;;13;20;4;7;
15;;13;20;4;7;
15;;13;20;4;7;
15;;13;20;4;7;
15;;13;20;4;7;
15;;13;20;4;7;
15;;13;20;4;7;
15;;13;20;4;7;
15;;13;20;4;7;
15;;13;20;4;7;
15;;13;20;4;7;
15;2;13;20;4;7;0
15;2;13;20;4;7;1
15;2;13;20;4;7;0
15;2;13;20;4;7;0
15;;13;20;4;7;
15;;13;20;4;7;
15;;13;20;4;7;
15;;13;20;4;7;
15;;13;20;4;7;
15;;13;20;4;7;
15;;13;20;4;7;
15;;13;20;4;7;
15;;13;20;4;7;
15;;13;20;4;7;
15;;13;20;4;7;
15;;13;20;4;7;
15;;13;20;4;7;
15;;13;20;4;7;
15;;13;20;4;7;
15;3;13;20;4;7;1
15;3;13;20;4;7;1
15;3;13;20;4;7;1
